timestamp, name, index, memory.total [MiB], memory.used [MiB], utilization.gpu [%]
43:24.7, NVIDIA TITAN RTX,2, 24220 MiB, 9408 MiB,90%
44:24.7, NVIDIA TITAN RTX,2, 24220 MiB, 9408 MiB,84%
45:24.7, NVIDIA TITAN RTX,2, 24220 MiB, 9408 MiB,83%
46:24.7, NVIDIA TITAN RTX,2, 24220 MiB, 9408 MiB,85%
47:24.7, NVIDIA TITAN RTX,2, 24220 MiB, 9408 MiB,86%
48:24.8, NVIDIA TITAN RTX,2, 24220 MiB, 9408 MiB,84%
49:24.8, NVIDIA TITAN RTX,2, 24220 MiB, 9408 MiB,84%
50:24.8, NVIDIA TITAN RTX,2, 24220 MiB, 9408 MiB,83%
51:24.8, NVIDIA TITAN RTX,2, 24220 MiB, 9408 MiB,85%
52:24.8, NVIDIA TITAN RTX,2, 24220 MiB, 9408 MiB,85%
53:24.8, NVIDIA TITAN RTX,2, 24220 MiB, 9408 MiB,84%
54:24.9, NVIDIA TITAN RTX,2, 24220 MiB, 9408 MiB,86%
55:24.9, NVIDIA TITAN RTX,2, 24220 MiB, 9408 MiB,83%
56:24.9, NVIDIA TITAN RTX,2, 24220 MiB, 9408 MiB,84%
57:24.9, NVIDIA TITAN RTX,2, 24220 MiB, 9408 MiB,83%
58:24.9, NVIDIA TITAN RTX,2, 24220 MiB, 9408 MiB,89%
59:24.9, NVIDIA TITAN RTX,2, 24220 MiB, 9408 MiB,85%
00:25.0, NVIDIA TITAN RTX,2, 24220 MiB, 9408 MiB,84%
01:25.0, NVIDIA TITAN RTX,2, 24220 MiB, 9408 MiB,83%
02:25.0, NVIDIA TITAN RTX,2, 24220 MiB, 9408 MiB,83%
03:25.0, NVIDIA TITAN RTX,2, 24220 MiB, 9408 MiB,84%
04:25.0, NVIDIA TITAN RTX,2, 24220 MiB, 9408 MiB,87%
05:25.0, NVIDIA TITAN RTX,2, 24220 MiB, 9408 MiB,83%
06:25.0, NVIDIA TITAN RTX,2, 24220 MiB, 9408 MiB,83%
07:25.0, NVIDIA TITAN RTX,2, 24220 MiB, 9408 MiB,85%
08:25.0, NVIDIA TITAN RTX,2, 24220 MiB, 9408 MiB,83%
09:25.0, NVIDIA TITAN RTX,2, 24220 MiB, 9408 MiB,85%
10:25.0, NVIDIA TITAN RTX,2, 24220 MiB, 9408 MiB,83%
11:25.1, NVIDIA TITAN RTX,2, 24220 MiB, 9408 MiB,85%
12:25.1, NVIDIA TITAN RTX,2, 24220 MiB, 9408 MiB,85%
13:25.1, NVIDIA TITAN RTX,2, 24220 MiB, 9408 MiB,84%
14:25.1, NVIDIA TITAN RTX,2, 24220 MiB, 9408 MiB,83%
15:25.1, NVIDIA TITAN RTX,2, 24220 MiB, 9408 MiB,85%
16:25.1, NVIDIA TITAN RTX,2, 24220 MiB, 9408 MiB,83%
17:25.1, NVIDIA TITAN RTX,2, 24220 MiB, 9408 MiB,85%
18:25.1, NVIDIA TITAN RTX,2, 24220 MiB, 9408 MiB,84%
19:25.1, NVIDIA TITAN RTX,2, 24220 MiB, 9408 MiB,83%
20:25.1, NVIDIA TITAN RTX,2, 24220 MiB, 9408 MiB,85%
21:25.1, NVIDIA TITAN RTX,2, 24220 MiB, 9408 MiB,85%
22:25.1, NVIDIA TITAN RTX,2, 24220 MiB, 9408 MiB,84%
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
