timestamp, name, index, memory.total [MiB], memory.used [MiB], utilization.gpu [%]
03:36.5, NVIDIA TITAN RTX,2, 24220 MiB, 12874 MiB,94%
04:36.6, NVIDIA TITAN RTX,2, 24220 MiB, 12874 MiB,97%
05:36.6, NVIDIA TITAN RTX,2, 24220 MiB, 12874 MiB,96%
06:36.6, NVIDIA TITAN RTX,2, 24220 MiB, 12874 MiB,95%
07:36.6, NVIDIA TITAN RTX,2, 24220 MiB, 12874 MiB,96%
08:36.6, NVIDIA TITAN RTX,2, 24220 MiB, 12874 MiB,96%
09:36.6, NVIDIA TITAN RTX,2, 24220 MiB, 12874 MiB,95%
10:36.6, NVIDIA TITAN RTX,2, 24220 MiB, 12874 MiB,97%
11:36.6, NVIDIA TITAN RTX,2, 24220 MiB, 12874 MiB,97%
12:36.6, NVIDIA TITAN RTX,2, 24220 MiB, 12874 MiB,95%
13:36.6, NVIDIA TITAN RTX,2, 24220 MiB, 12874 MiB,94%
14:36.6, NVIDIA TITAN RTX,2, 24220 MiB, 12874 MiB,94%
15:36.6, NVIDIA TITAN RTX,2, 24220 MiB, 12874 MiB,95%
16:36.6, NVIDIA TITAN RTX,2, 24220 MiB, 12874 MiB,93%
17:36.6, NVIDIA TITAN RTX,2, 24220 MiB, 12874 MiB,94%
18:36.6, NVIDIA TITAN RTX,2, 24220 MiB, 13530 MiB,93%
19:36.6, NVIDIA TITAN RTX,2, 24220 MiB, 13530 MiB,95%
20:36.6, NVIDIA TITAN RTX,2, 24220 MiB, 14303 MiB,96%
21:36.6, NVIDIA TITAN RTX,2, 24220 MiB, 13530 MiB,96%
22:36.6, NVIDIA TITAN RTX,2, 24220 MiB, 13530 MiB,96%
23:36.6, NVIDIA TITAN RTX,2, 24220 MiB, 13530 MiB,95%
24:36.6, NVIDIA TITAN RTX,2, 24220 MiB, 13530 MiB,95%
25:36.7, NVIDIA TITAN RTX,2, 24220 MiB, 13530 MiB,95%
26:36.7, NVIDIA TITAN RTX,2, 24220 MiB, 13530 MiB,96%
27:36.8, NVIDIA TITAN RTX,2, 24220 MiB, 13530 MiB,95%
28:36.8, NVIDIA TITAN RTX,2, 24220 MiB, 13530 MiB,94%
29:36.8, NVIDIA TITAN RTX,2, 24220 MiB, 13530 MiB,95%
30:36.8, NVIDIA TITAN RTX,2, 24220 MiB, 13530 MiB,95%
31:36.8, NVIDIA TITAN RTX,2, 24220 MiB, 13530 MiB,95%
32:36.8, NVIDIA TITAN RTX,2, 24220 MiB, 13530 MiB,95%
33:36.8, NVIDIA TITAN RTX,2, 24220 MiB, 13530 MiB,96%
34:36.8, NVIDIA TITAN RTX,2, 24220 MiB, 13530 MiB,94%
35:36.8, NVIDIA TITAN RTX,2, 24220 MiB, 13530 MiB,96%
36:36.8, NVIDIA TITAN RTX,2, 24220 MiB, 13530 MiB,96%
37:37.0, NVIDIA TITAN RTX,2, 24220 MiB, 13530 MiB,95%
38:37.0, NVIDIA TITAN RTX,2, 24220 MiB, 13530 MiB,95%
39:37.0, NVIDIA TITAN RTX,2, 24220 MiB, 13530 MiB,96%
40:37.0, NVIDIA TITAN RTX,2, 24220 MiB, 13530 MiB,97%
41:37.0, NVIDIA TITAN RTX,2, 24220 MiB, 13530 MiB,95%
42:37.0, NVIDIA TITAN RTX,2, 24220 MiB, 13530 MiB,94%
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
