timestamp, name, index, memory.total [MiB], memory.used [MiB], utilization.gpu [%]
05:08.2, NVIDIA TITAN RTX,2, 24220 MiB, 7082 MiB,97%
06:08.2, NVIDIA TITAN RTX,2, 24220 MiB, 7082 MiB,96%
07:08.2, NVIDIA TITAN RTX,2, 24220 MiB, 7082 MiB,97%
08:08.2, NVIDIA TITAN RTX,2, 24220 MiB, 7082 MiB,97%
09:08.2, NVIDIA TITAN RTX,2, 24220 MiB, 7082 MiB,97%
10:08.2, NVIDIA TITAN RTX,2, 24220 MiB, 7082 MiB,97%
11:08.2, NVIDIA TITAN RTX,2, 24220 MiB, 7082 MiB,97%
12:08.2, NVIDIA TITAN RTX,2, 24220 MiB, 7082 MiB,97%
13:08.2, NVIDIA TITAN RTX,2, 24220 MiB, 7082 MiB,97%
14:08.2, NVIDIA TITAN RTX,2, 24220 MiB, 7082 MiB,95%
15:08.2, NVIDIA TITAN RTX,2, 24220 MiB, 7082 MiB,97%
16:08.2, NVIDIA TITAN RTX,2, 24220 MiB, 7082 MiB,97%
17:08.2, NVIDIA TITAN RTX,2, 24220 MiB, 7082 MiB,97%
18:08.2, NVIDIA TITAN RTX,2, 24220 MiB, 7082 MiB,98%
19:08.2, NVIDIA TITAN RTX,2, 24220 MiB, 7082 MiB,97%
20:08.2, NVIDIA TITAN RTX,2, 24220 MiB, 7082 MiB,98%
21:08.2, NVIDIA TITAN RTX,2, 24220 MiB, 7082 MiB,97%
22:08.2, NVIDIA TITAN RTX,2, 24220 MiB, 7082 MiB,98%
23:08.2, NVIDIA TITAN RTX,2, 24220 MiB, 7082 MiB,98%
24:08.3, NVIDIA TITAN RTX,2, 24220 MiB, 7082 MiB,97%
25:08.3, NVIDIA TITAN RTX,2, 24220 MiB, 7082 MiB,97%
26:08.3, NVIDIA TITAN RTX,2, 24220 MiB, 7082 MiB,97%
27:08.3, NVIDIA TITAN RTX,2, 24220 MiB, 7082 MiB,98%
28:08.5, NVIDIA TITAN RTX,2, 24220 MiB, 7082 MiB,97%
29:08.5, NVIDIA TITAN RTX,2, 24220 MiB, 7082 MiB,98%
30:08.5, NVIDIA TITAN RTX,2, 24220 MiB, 7082 MiB,96%
31:08.5, NVIDIA TITAN RTX,2, 24220 MiB, 7082 MiB,97%
32:08.5, NVIDIA TITAN RTX,2, 24220 MiB, 7082 MiB,97%
38:08.6, NVIDIA TITAN RTX,2, 24220 MiB, 7912 MiB,97%
39:08.6, NVIDIA TITAN RTX,2, 24220 MiB, 7912 MiB,96%
40:08.6, NVIDIA TITAN RTX,2, 24220 MiB, 7912 MiB,96%
41:08.6, NVIDIA TITAN RTX,2, 24220 MiB, 7912 MiB,98%
42:08.6, NVIDIA TITAN RTX,2, 24220 MiB, 7912 MiB,97%
43:08.6, NVIDIA TITAN RTX,2, 24220 MiB, 7912 MiB,98%
44:08.7, NVIDIA TITAN RTX,2, 24220 MiB, 7912 MiB,98%
45:08.7, NVIDIA TITAN RTX,2, 24220 MiB, 7912 MiB,97%
46:08.7, NVIDIA TITAN RTX,2, 24220 MiB, 7912 MiB,97%
47:08.7, NVIDIA TITAN RTX,2, 24220 MiB, 7912 MiB,97%
48:08.7, NVIDIA TITAN RTX,2, 24220 MiB, 7912 MiB,97%
49:08.7, NVIDIA TITAN RTX,2, 24220 MiB, 7912 MiB,96%
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
