timestamp, name, index, memory.total [MiB], memory.used [MiB], utilization.gpu [%]
04:20.9, NVIDIA TITAN RTX,2, 24220 MiB, 19148 MiB,99%
05:20.9, NVIDIA TITAN RTX,2, 24220 MiB, 19148 MiB,99%
06:20.9, NVIDIA TITAN RTX,2, 24220 MiB, 19148 MiB,99%
07:20.9, NVIDIA TITAN RTX,2, 24220 MiB, 19148 MiB,99%
08:20.9, NVIDIA TITAN RTX,2, 24220 MiB, 19148 MiB,100%
09:20.9, NVIDIA TITAN RTX,2, 24220 MiB, 19148 MiB,100%
10:20.9, NVIDIA TITAN RTX,2, 24220 MiB, 19148 MiB,100%
11:20.9, NVIDIA TITAN RTX,2, 24220 MiB, 19148 MiB,100%
12:20.9, NVIDIA TITAN RTX,2, 24220 MiB, 19148 MiB,100%
13:20.9, NVIDIA TITAN RTX,2, 24220 MiB, 19148 MiB,99%
14:20.9, NVIDIA TITAN RTX,2, 24220 MiB, 19148 MiB,100%
15:20.9, NVIDIA TITAN RTX,2, 24220 MiB, 19148 MiB,99%
16:20.9, NVIDIA TITAN RTX,2, 24220 MiB, 19150 MiB,99%
17:20.9, NVIDIA TITAN RTX,2, 24220 MiB, 19150 MiB,99%
18:20.9, NVIDIA TITAN RTX,2, 24220 MiB, 19150 MiB,99%
19:20.9, NVIDIA TITAN RTX,2, 24220 MiB, 19150 MiB,100%
20:20.9, NVIDIA TITAN RTX,2, 24220 MiB, 19150 MiB,99%
21:20.9, NVIDIA TITAN RTX,2, 24220 MiB, 19150 MiB,99%
22:20.9, NVIDIA TITAN RTX,2, 24220 MiB, 19150 MiB,99%
23:20.9, NVIDIA TITAN RTX,2, 24220 MiB, 19150 MiB,99%
24:20.9, NVIDIA TITAN RTX,2, 24220 MiB, 19150 MiB,99%
25:20.9, NVIDIA TITAN RTX,2, 24220 MiB, 19150 MiB,99%
26:20.9, NVIDIA TITAN RTX,2, 24220 MiB, 19150 MiB,100%
27:21.0, NVIDIA TITAN RTX,2, 24220 MiB, 19150 MiB,99%
28:21.0, NVIDIA TITAN RTX,2, 24220 MiB, 19150 MiB,99%
29:21.0, NVIDIA TITAN RTX,2, 24220 MiB, 19150 MiB,100%
30:21.0, NVIDIA TITAN RTX,2, 24220 MiB, 19150 MiB,99%
31:21.0, NVIDIA TITAN RTX,2, 24220 MiB, 19150 MiB,100%
32:21.0, NVIDIA TITAN RTX,2, 24220 MiB, 19150 MiB,99%
33:21.0, NVIDIA TITAN RTX,2, 24220 MiB, 19150 MiB,99%
34:21.0, NVIDIA TITAN RTX,2, 24220 MiB, 19150 MiB,100%
35:21.1, NVIDIA TITAN RTX,2, 24220 MiB, 19150 MiB,99%
36:21.1, NVIDIA TITAN RTX,2, 24220 MiB, 19150 MiB,99%
37:21.1, NVIDIA TITAN RTX,2, 24220 MiB, 19150 MiB,99%
38:21.1, NVIDIA TITAN RTX,2, 24220 MiB, 19150 MiB,99%
39:21.1, NVIDIA TITAN RTX,2, 24220 MiB, 19150 MiB,100%
40:21.1, NVIDIA TITAN RTX,2, 24220 MiB, 19150 MiB,99%
41:21.1, NVIDIA TITAN RTX,2, 24220 MiB, 19150 MiB,99%
42:21.1, NVIDIA TITAN RTX,2, 24220 MiB, 19150 MiB,99%
43:21.1, NVIDIA TITAN RTX,2, 24220 MiB, 19150 MiB,99%
,,,,,
,,,,,
,,,,,
